Round,Wk,Day,Home,xG,Score,xGA,Away,Attendance,Venue,Referee,Match Report,Notes
League phase,2,Wed,Benfica,4.4,4–0,0.2,Atletico Madrid,62028,Estádio do Sport Lisboa e Benfica,Serdar Gözübüyük,Match Report,
League phase,2,Wed,RB Leipzig,3.3,2–3,1.2,Juventus,45228,Red Bull Arena,François Letexier,Match Report,
League phase,2,Wed,Lille,1.1,1–0,2,Real Madrid,48205,Decathlon Arena - Stade Pierre-Mauroy,Maurizio Mariani,Match Report,
League phase,2,Wed,Sturm Graz,0.4,0–1,0.7,Club Brugge,23205,Merkur Arena,Əliyar Ağayev,Match Report,
League phase,2,Wed,Dinamo Zagreb,1,2–2,1.9,Monaco,12462,Stadion Maksimir,Harm Osmers,Match Report,
League phase,3,Tue,Monaco,3.3,5–1,1,Red Star,9590,Stade Louis II,Tobias Stieler,Match Report,
League phase,3,Tue,Milan,1.2,3–1,0.6,Club Brugge,58649,Stadio Giuseppe Meazza,Felix Zwayer,Match Report,
League phase,3,Tue,Arsenal,1.8,1–0,0.7,Shakhtar,59594,Emirates Stadium,Benoît Bastien,Match Report,
League phase,3,Tue,Aston Villa,1.2,2–0,0.9,Bologna,41847,Villa Park,João Pinheiro,Match Report,
League phase,3,Tue,Juventus,0.2,0–1,2.5,Stuttgart,41306,Allianz Stadium,Espen Eskås,Match Report,
League phase,3,Tue,Sturm Graz,0.7,0–2,1.4,Sporting CP,23691,Merkur Arena,Giorgi Kruashvili,Match Report,
League phase,3,Tue,Paris S-G,2.5,1–1,0.2,PSV Eindhoven,47511,Parc des Princes,Glenn Nyberg,Match Report,
League phase,3,Tue,Real Madrid,3.5,5–2,1.6,Dortmund,74642,Estadio Santiago Bernabéu,István Kovács,Match Report,
League phase,3,Tue,Girona,1.7,2–0,0.5,Slovan Bratislava,9246,Estadi Municipal de Montilivi,Horațiu Fesnic,Match Report,
League phase,3,Wed,Brest,0.5,1–1,1,Leverkusen,15510,Stade du Roudourou,Ivan Kružliak,Match Report,
League phase,3,Wed,Atalanta,2.4,0–0,0.3,Celtic,21614,Gewiss Stadium,Irfan Peljto,Match Report,
League phase,3,Wed,Benfica,1.7,1–3,1,Feyenoord,61687,Estádio do Sport Lisboa e Benfica,Halil Umut Meler,Match Report,
League phase,3,Wed,Manchester City,2.9,5–0,0.2,Sparta Prague,50116,Etihad Stadium,Maurizio Mariani,Match Report,
League phase,3,Wed,RB Salzburg,1.2,0–2,1.6,Dinamo Zagreb,24018,Red Bull Arena,Danny Makkelie,Match Report,
League phase,3,Wed,Barcelona,2.2,4–1,1,Bayern Munich,50312,Estadi Olímpic Lluís Companys,Slavko Vinčič,Match Report,
League phase,3,Wed,RB Leipzig,0.8,0–1,2.3,Liverpool,45228,Red Bull Arena,Sandro Schärer,Match Report,
League phase,3,Wed,Atletico Madrid,2.3,1–3,1.3,Lille,61197,Riyadh Air Metropolitan Stadium,Marco Guida,Match Report,
League phase,3,Wed,Young Boys,0.8,0–1,3.3,Inter,31500,Stadion Wankdorf,Michael Oliver,Match Report,
League phase,4,Tue,Slovan Bratislava,1.7,1–4,1.5,Dinamo Zagreb,22132,Štadión Tehelné pole,Anthony Taylor,Match Report,
League phase,4,Tue,PSV Eindhoven,2,4–0,0.8,Girona,34400,Philips Stadion,Michael Oliver,Match Report,
League phase,4,Tue,Sporting CP,2.9,4–1,2.1,Manchester City,47453,Estádio José Alvalade,Daniel Siebert,Match Report,
League phase,4,Tue,Liverpool,3.7,4–0,0.9,Leverkusen,59790,Anfield,Danny Makkelie,Match Report,
League phase,4,Tue,Celtic,1.8,3–1,1.3,RB Leipzig,57551,Celtic Park,Benoît Bastien,Match Report,
