Wk,Date,Home,Away,HG,AG
1,2021-03-25,Italy,Northern Ireland,2,0
1,2021-03-25,Sweden,Georgia,1,0
1,2021-03-25,Moldova,Faroe Islands,1,1
1,2021-03-25,Romania,N. Macedonia,3,2
,,,,,
2,2021-03-27,Montenegro,Gibraltar,4,1
2,2021-03-27,Russia,Slovenia,2,1
2,2021-03-27,Croatia,Cyprus,1,0
2,2021-03-27,Norway,Türkiye,0,3
2,2021-03-27,Netherlands,Latvia,2,0
2,2021-03-27,Rep. Ireland,Luxembourg,0,1
2,2021-03-27,Belarus,Estonia,4,2
2,2021-03-27,Serbia,Portugal,2,2
2,2021-03-27,Slovakia,Malta,2,2
2,2021-03-27,Czechia,Belgium,1,1
2,2021-03-28,Denmark,Moldova,8,0
2,2021-03-28,Albania,England,0,2
2,2021-03-28,Kazakhstan,France,0,2
2,2021-03-28,Georgia,Spain,1,2
2,2021-03-28,Armenia,Iceland,2,0
2,2021-03-28,Switzerland,Lithuania,1,0
2,2021-03-28,Austria,Faroe Islands,3,1
2,2021-03-28,San Marino,Hungary,0,3
2,2021-03-28,Poland,Andorra,3,0
2,2021-03-28,N. Macedonia,Liechtenstein,5,0
2,2021-03-28,Kosovo,Sweden,0,3
2,2021-03-28,Romania,Germany,0,1
2,2021-03-28,Bulgaria,Italy,0,2
2,2021-03-28,Ukraine,Finland,1,1
2,2021-03-28,Israel,Scotland,1,1
,,,,,
3,2021-03-30,Cyprus,Slovenia,1,0
3,2021-03-30,Wales,Czechia,1,0
3,2021-03-30,Azerbaijan,Serbia,1,2
3,2021-03-30,Montenegro,Norway,0,1
3,2021-03-30,Croatia,Malta,3,0
3,2021-03-30,Luxembourg,Portugal,1,3
3,2021-03-30,Gibraltar,Netherlands,0,7
3,2021-03-30,Slovakia,Russia,2,1
3,2021-03-30,Belgium,Belarus,8,0
3,2021-03-30,Türkiye,Latvia,3,3
3,2021-03-31,England,Poland,2,1
3,2021-03-31,Northern Ireland,Bulgaria,0,0
3,2021-03-31,Scotland,Faroe Islands,4,0
3,2021-03-31,Armenia,Romania,3,2
3,2021-03-31,Andorra,Hungary,1,4
3,2021-03-31,Austria,Denmark,0,4
3,2021-03-31,Germany,N. Macedonia,1,2
3,2021-03-31,Bosnia & Herz'na,France,0,1
3,2021-03-31,San Marino,Albania,0,2
3,2021-03-31,Spain,Kosovo,3,1
3,2021-03-31,Liechtenstein,Iceland,1,4
3,2021-03-31,Moldova,Israel,1,4
3,2021-03-31,Lithuania,Italy,0,2
3,2021-03-31,Greece,Georgia,1,1
3,2021-03-31,Ukraine,Kazakhstan,1,1
,,,,,
4,2021-09-01,Portugal,Rep. Ireland,2,1
4,2021-09-01,Faroe Islands,Israel,0,4
4,2021-09-01,Kazakhstan,Ukraine,2,2
4,2021-09-01,Luxembourg,Azerbaijan,2,1
4,2021-09-01,Denmark,Scotland,2,0
4,2021-09-01,Norway,Netherlands,1,1
4,2021-09-01,Malta,Cyprus,3,0
4,2021-09-01,Slovenia,Slovakia,1,1
4,2021-09-01,France,Bosnia & Herz'na,1,1
4,2021-09-01,Türkiye,Montenegro,2,2
4,2021-09-01,Russia,Croatia,0,0
4,2021-09-01,Latvia,Gibraltar,3,1
4,2021-09-01,Moldova,Austria,0,2
4,2021-09-02,Iceland,Romania,0,2
4,2021-09-02,Georgia,Kosovo,0,1
4,2021-09-02,Andorra,San Marino,2,0
4,2021-09-02,Poland,Albania,4,1
4,2021-09-02,N. Macedonia,Armenia,0,0
4,2021-09-02,Hungary,England,0,4
4,2021-09-02,Italy,Bulgaria,1,1
4,2021-09-02,Sweden,Spain,2,1
4,2021-09-02,Liechtenstein,Germany,0,2
4,2021-09-02,Czechia,Belarus,1,0
4,2021-09-02,Lithuania,Northern Ireland,1,4
4,2021-09-02,Estonia,Belgium,2,5
,,,,,
5,2021-09-04,Finland,Kazakhstan,1,0
5,2021-09-04,Rep. Ireland,Azerbaijan,1,1
5,2021-09-04,Slovenia,Malta,1,0
5,2021-09-04,Serbia,Luxembourg,4,1
5,2021-09-04,Latvia,Norway,0,2
5,2021-09-04,Cyprus,Russia,0,2
5,2021-09-04,Scotland,Moldova,1,0
5,2021-09-04,Faroe Islands,Denmark,0,1
5,2021-09-04,Gibraltar,Türkiye,0,3
5,2021-09-04,Netherlands,Montenegro,4,0
5,2021-09-04,Slovakia,Croatia,0,1
5,2021-09-04,Ukraine,France,1,1
5,2021-09-04,Israel,Austria,5,2
5,2021-09-05,Iceland,N. Macedonia,2,2
5,2021-09-05,Belarus,Wales,2,3
5,2021-09-05,England,Andorra,4,0
5,2021-09-05,Albania,Hungary,1,0
5,2021-09-05,Bulgaria,Lithuania,1,0
5,2021-09-05,Germany,Armenia,6,0
5,2021-09-05,San Marino,Poland,1,7
5,2021-09-05,Belgium,Czechia,3,0
5,2021-09-05,Kosovo,Greece,1,1
5,2021-09-05,Spain,Georgia,4,0
5,2021-09-05,Switzerland,Italy,0,0
5,2021-09-05,Romania,Liechtenstein,2,0
,,,,,
6,2021-09-07,Rep. Ireland,Serbia,1,1
6,2021-09-07,Faroe Islands,Moldova,2,1
6,2021-09-07,Azerbaijan,Portugal,0,3
6,2021-09-07,Austria,Scotland,0,1
6,2021-09-07,Slovakia,Cyprus,2,0
6,2021-09-07,Netherlands,Türkiye,6,1
6,2021-09-07,Bosnia & Herz'na,Kazakhstan,2,2
6,2021-09-07,Norway,Gibraltar,5,1
6,2021-09-07,France,Finland,2,0
6,2021-09-07,Montenegro,Latvia,0,0
6,2021-09-07,Croatia,Slovenia,3,0
6,2021-09-07,Denmark,Israel,5,0
6,2021-09-07,Russia,Malta,2,0
6,2021-09-08,Iceland,Germany,0,4
6,2021-09-08,Wales,Estonia,0,0
6,2021-09-08,Northern Ireland,Switzerland,0,0
6,2021-09-08,Armenia,Liechtenstein,1,1
6,2021-09-08,N. Macedonia,Romania,0,0
6,2021-09-08,Albania,San Marino,5,0
6,2021-09-08,Hungary,Andorra,2,1
6,2021-09-08,Italy,Lithuania,5,0
6,2021-09-08,Poland,England,1,1
6,2021-09-08,Kosovo,Spain,0,2
6,2021-09-08,Belarus,Belgium,0,1
6,2021-09-08,Greece,Sweden,2,1
,,,,,
7,2021-10-08,Iceland,Armenia,1,1
7,2021-10-08,Germany,Romania,2,1
7,2021-10-08,Gibraltar,Montenegro,0,3
7,2021-10-08,Czechia,Wales,2,2
7,2021-10-08,Malta,Slovenia,0,4
7,2021-10-08,Liechtenstein,N. Macedonia,0,4
7,2021-10-08,Russia,Slovakia,1,0
7,2021-10-08,Estonia,Belarus,2,0
7,2021-10-08,Türkiye,Norway,1,1
7,2021-10-08,Latvia,Netherlands,0,1
7,2021-10-08,Cyprus,Croatia,0,3
7,2021-10-09,Lithuania,Bulgaria,3,1
7,2021-10-09,Scotland,Israel,3,2
7,2021-10-09,Sweden,Kosovo,3,0
7,2021-10-09,Finland,Ukraine,1,2
7,2021-10-09,Kazakhstan,Bosnia & Herz'na,0,2
7,2021-10-09,Faroe Islands,Austria,0,2
7,2021-10-09,Georgia,Greece,0,2
7,2021-10-09,Azerbaijan,Rep. Ireland,0,3
7,2021-10-09,Hungary,Albania,0,1
7,2021-10-09,Switzerland,Northern Ireland,2,0
7,2021-10-09,Poland,San Marino,5,0
7,2021-10-09,Andorra,England,0,5
7,2021-10-09,Luxembourg,Serbia,0,1
7,2021-10-09,Moldova,Denmark,0,4
,,,,,
8,2021-10-11,Iceland,Liechtenstein,4,0
8,2021-10-11,Cyprus,Malta,2,2
8,2021-10-11,Netherlands,Gibraltar,6,0
8,2021-10-11,Slovenia,Russia,1,2
8,2021-10-11,Norway,Montenegro,2,0
8,2021-10-11,N. Macedonia,Germany,0,4
8,2021-10-11,Croatia,Slovakia,2,2
8,2021-10-11,Latvia,Türkiye,1,2
8,2021-10-11,Estonia,Wales,0,1
8,2021-10-11,Belarus,Czechia,0,2
8,2021-10-11,Romania,Armenia,1,0
8,2021-10-12,Faroe Islands,Scotland,0,1
8,2021-10-12,Portugal,Luxembourg,5,0
8,2021-10-12,England,Hungary,1,1
8,2021-10-12,Kazakhstan,Finland,0,2
8,2021-10-12,Kosovo,Georgia,1,2
8,2021-10-12,Albania,Poland,0,1
8,2021-10-12,Denmark,Austria,1,0
8,2021-10-12,Sweden,Greece,2,0
8,2021-10-12,Serbia,Azerbaijan,3,1
8,2021-10-12,San Marino,Andorra,0,3
8,2021-10-12,Israel,Moldova,2,1
8,2021-10-12,Bulgaria,Northern Ireland,2,1
8,2021-10-12,Lithuania,Switzerland,0,4
8,2021-10-12,Ukraine,Bosnia & Herz'na,1,1
,,,,,
9,2021-11-11,Rep. Ireland,Portugal,0,0
9,2021-11-11,Russia,Cyprus,6,0
9,2021-11-11,Slovakia,Slovenia,2,2
9,2021-11-11,Germany,Liechtenstein,9,0
9,2021-11-11,Malta,Croatia,1,7
9,2021-11-11,Armenia,N. Macedonia,0,5
9,2021-11-11,Georgia,Sweden,2,0
9,2021-11-11,Azerbaijan,Luxembourg,1,3
9,2021-11-11,Romania,Iceland,0,0
9,2021-11-11,Greece,Spain,0,1
9,2021-11-12,Moldova,Scotland,0,2
9,2021-11-12,Northern Ireland,Lithuania,1,0
9,2021-11-12,England,Albania,5,0
9,2021-11-12,Hungary,San Marino,4,0
9,2021-11-12,Andorra,Poland,1,4
9,2021-11-12,Austria,Israel,4,2
9,2021-11-12,Italy,Switzerland,1,1
9,2021-11-12,Denmark,Faroe Islands,3,1
9,2021-11-13,Bosnia & Herz'na,Finland,1,3
9,2021-11-13,Norway,Latvia,0,0
9,2021-11-13,Wales,Belarus,5,1
9,2021-11-13,Türkiye,Gibraltar,6,0
9,2021-11-13,France,Kazakhstan,8,0
9,2021-11-13,Belgium,Estonia,3,1
9,2021-11-13,Montenegro,Netherlands,2,2
,,,,,
10,2021-11-14,Malta,Slovakia,0,6
10,2021-11-14,Croatia,Russia,1,0
10,2021-11-14,Slovenia,Cyprus,2,1
10,2021-11-14,Liechtenstein,Romania,0,2
10,2021-11-14,N. Macedonia,Iceland,3,1
10,2021-11-14,Portugal,Serbia,1,2
10,2021-11-14,Luxembourg,Rep. Ireland,0,3
10,2021-11-14,Spain,Sweden,1,0
10,2021-11-14,Armenia,Germany,1,4
10,2021-11-14,Greece,Kosovo,1,1
10,2021-11-15,Northern Ireland,Italy,0,0
10,2021-11-15,Scotland,Denmark,2,0
10,2021-11-15,Switzerland,Bulgaria,4,0
10,2021-11-15,Albania,Andorra,1,0
10,2021-11-15,San Marino,England,0,10
10,2021-11-15,Poland,Hungary,1,2
10,2021-11-15,Austria,Moldova,4,1
10,2021-11-15,Israel,Faroe Islands,3,2
10,2021-11-16,Wales,Belgium,1,1
10,2021-11-16,Gibraltar,Latvia,1,3
10,2021-11-16,Montenegro,Türkiye,1,2
10,2021-11-16,Czechia,Estonia,2,0
10,2021-11-16,Netherlands,Norway,2,0
10,2021-11-16,Bosnia & Herz'na,Ukraine,0,2
10,2021-11-16,Finland,France,0,2
,,,,,
,2022-03-24,Portugal,Türkiye,3,1
,2022-03-24,Wales,Austria,2,1
,2022-03-24,Russia,Poland,,
,2022-03-24,Sweden,Czechia,1,0
,2022-03-24,Italy,N. Macedonia,0,1
,2022-03-29,Portugal,N. Macedonia,2,0
,2022-03-29,Poland,Sweden,2,0
,2022-06-01,Scotland,Ukraine,1,3
,2022-06-05,Wales,Ukraine,1,0
