Date,Home,Away,HG,AG
2023-09-07,Paraguay,Peru,0,0
2023-09-08,Uruguay,Chile,3,1
2023-09-07,Argentina,Ecuador,1,0
2023-09-08,Brazil,Bolivia,5,1
,,,,
2023-09-12,Bolivia,Argentina,0,3
2023-09-12,Ecuador,Uruguay,2,1
2023-09-12,Venezuela,Paraguay,1,0
2023-09-12,Peru,Brazil,0,1
2023-09-12,Chile,Colombia,0,0
,,,,
2023-10-12,Colombia,Uruguay,2,2
2023-10-12,Bolivia,Ecuador,1,2
2023-10-12,Argentina,Paraguay,1,0
2023-10-12,Brazil,Venezuela,1,1
2023-10-12,Chile,Peru,2,0
,,,,
2023-10-17,Venezuela,Chile,3,0
2023-10-17,Ecuador,Colombia,0,0
2023-10-17,Paraguay,Bolivia,1,0
2023-10-17,Uruguay,Brazil,2,0
2023-10-17,Peru,Argentina,0,2
,,,,
2023-11-16,Bolivia,Peru,2,0
2023-11-16,Venezuela,Ecuador,0,0
2023-11-16,Colombia,Brazil,2,1
2023-11-16,Argentina,Uruguay,0,2
2023-11-16,Chile,Paraguay,0,0
,,,,
2023-11-21,Ecuador,Chile,1,0
2023-11-21,Paraguay,Colombia,0,1
2023-11-21,Uruguay,Bolivia,3,0
2023-11-21,Peru,Venezuela,1,1
2023-11-21,Brazil,Argentina,0,1
,,,,
2024-09-05,Bolivia,Venezuela,4,0
2024-09-06,Uruguay,Paraguay,0,0
2024-09-05,Argentina,Chile,3,0
2024-09-06,Peru,Colombia,1,1
2024-09-06,Brazil,Ecuador,1,0
,,,,
2024-09-10,Colombia,Argentina,2,1
2024-09-10,Ecuador,Peru,1,0
2024-09-10,Venezuela,Uruguay,0,0
2024-09-10,Chile,Bolivia,1,2
2024-09-10,Paraguay,Brazil,1,0
,,,,
2024-10-10,Ecuador,Paraguay,0,0
2024-10-10,Bolivia,Colombia,1,0
2024-10-10,Venezuela,Argentina,1,1
2024-10-10,Chile,Brazil,1,2
2024-10-11,Peru,Uruguay,1,0
,,,,
2024-10-15,Colombia,Chile,4,0
2024-10-15,Paraguay,Venezuela,2,1
2024-10-15,Uruguay,Ecuador,0,0
2024-10-15,Argentina,Bolivia,6,0
2024-10-15,Brazil,Peru,4,0
,,,,
2024-11-14,Venezuela,Brazil,1,1
2024-11-14,Paraguay,Argentina,2,1
2024-11-14,Ecuador,Bolivia,4,0
2024-11-15,Peru,Chile,0,0
2024-11-15,Uruguay,Colombia,3,2
,,,,
2024-11-19,Bolivia,Paraguay,2,2
2024-11-19,Colombia,Ecuador,0,1
2024-11-19,Chile,Venezuela,4,2
2024-11-19,Argentina,Peru,1,0
2024-11-19,Brazil,Uruguay,1,1
,,,,
2025-03-04,Brazil,Colombia,,
2025-03-04,Uruguay,Argentina,,
2025-03-04,Peru,Bolivia,,
2025-03-04,Paraguay,Chile,,
2025-03-04,Ecuador,Venezuela,,
,,,,
2025-03-12,Venezuela,Peru,,
2025-03-12,Bolivia,Uruguay,,
2025-03-12,Colombia,Paraguay,,
2025-03-12,Argentina,Brazil,,
2025-03-12,Chile,Ecuador,,
,,,,
2025-06-04,Paraguay,Uruguay,,
2025-06-04,Ecuador,Brazil,,
2025-06-04,Chile,Argentina,,
2025-06-04,Colombia,Peru,,
2025-06-04,Venezuela,Bolivia,,
,,,,
2025-06-12,Peru,Ecuador,,
2025-06-12,Uruguay,Venezuela,,
2025-06-12,Brazil,Paraguay,,
2025-06-12,Bolivia,Chile,,
2025-06-12,Argentina,Colombia,,
,,,,
2025-09-04,Uruguay,Peru,,
2025-09-04,Brazil,Chile,,
2025-09-04,Paraguay,Ecuador,,
2025-09-04,Argentina,Venezuela,,
2025-09-04,Colombia,Bolivia,,
,,,,
2025-09-12,Chile,Uruguay,,
2025-09-12,Venezuela,Colombia,,
2025-09-12,Bolivia,Brazil,,
2025-09-12,Ecuador,Argentina,,
2025-09-12,Peru,Paraguay,,
